carr_way_no,road_id,start_name,end_name,location,latitude,longitude,cway_width,Shape__Length,traff_manage_level__0,traff_manage_level__1,traff_manage_level__2,traff_manage_level__3,traff_manage_level__4,traff_manage_level__5,traff_manage_level__6,traff_manage_level__7,count_Dayofyear,count_Week,count_Year,count_Month,count_Is_month_end,count_Is_month_start,count_Is_quarter_end,count_Is_quarter_start,count_Is_year_end,count_Is_year_start,count_Elapsed,adt,predicted_adt,rmse
4744,2607,3192,3924,549,-36.9423509497766,174.78046003792664,11.1,156.14425091328698,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,7026.0,7697.803048467127,671.8030484671272
5896,2621,2214,3954,89,-36.951867735490644,174.79132798865314,6.2,183.15520817167496,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,11131.0,7935.704743589743,3195.295256410257
5474,2621,965,1018,628,-36.94725153585675,174.78903007577026,12.6,229.443079616526,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,11087.0,10849.607820707071,237.39217929292863
5473,2621,909,3988,819,-36.94595538697217,174.78831475857086,12.6,163.02336760229701,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,10010.0,9952.781897011046,57.21810298895434
5472,2621,3593,2526,1052,-36.943443374236004,174.78753736474476,12.6,213.333955622124,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,9382.0,9908.234517195768,526.2345171957677
358,3137,3501,911,160,-37.05976932390799,174.95972015944335,7.5,227.94766686484002,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,1018.0,2009.3352932547975,991.3352932547975
325,3128,2134,3695,306,-37.07093675083275,174.95477743018122,8.0,599.683902066773,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,467.0,2043.628014652015,1576.628014652015
431,3124,2876,510,1649,-37.05136340798085,174.96007740177433,9.5,228.00304314694,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,1681.0,5007.078484848485,3326.0784848484845
443,3108,1231,3651,201,-37.066392937369706,174.96956298162044,8.0,86.8796622334948,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,533.0,2227.986797720798,1694.9867977207982
473,3091,2026,1880,261,-37.05406839848242,174.94687773242802,8.0,235.172549828924,0,1,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,360.0,842.8633333333333,482.86333333333334
5209,2920,2141,750,350,-37.18570387354468,174.82614880069508,10.8,119.502212609454,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,2541.0,5836.282055555555,3295.2820555555554
5042,2814,1714,3229,515,-36.95271619166153,174.7864625993131,10.5,502.323538414879,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,2502.0,6267.679499886079,3765.6794998860787
5023,2798,3232,1163,991,-36.88659551023049,174.9320906636539,8.8,499.0248886231169,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,1390.0,4514.345555555555,3124.3455555555547
5897,2621,672,495,1368,-36.94030897971531,174.7867904038175,13.3,109.953672223785,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,3768.0,4984.646944444444,1216.6469444444438
5476,2621,3567,2696,313,-36.949863361834396,174.79036017204066,12.5,181.144108069449,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,10856.0,9634.501481481482,1221.4985185185178
5475,2621,2357,1808,408,-36.94904869080276,174.78999297167385,12.3,87.54580492415609,1,0,0,0,0,0,0,0,39,6,2018,2,False,False,False,False,False,False,1518048000,11373.0,9665.51215099715,1707.4878490028495
3170,2328,2954,489,1276,-36.86765310746603,174.61616216803384,12.0,772.015756212972,0,0,0,1,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,15624.0,17857.368666666665,2233.3686666666654
3031,2458,2174,681,624,-36.875296646412345,174.63853765173852,11.0,506.49470885885,0,0,0,1,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,31199.0,26780.553333333333,4418.446666666667
3033,2458,3832,3840,1287,-36.86921109557478,174.63994457860176,9.9,170.631388594138,0,0,0,1,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,20960.0,18705.101375661376,2254.8986243386244
6010,3273,1294,1898,2490,-37.164572219854286,174.80473828726306,8.2,1237.9458182492501,1,0,0,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,5304.0,7605.19,2301.1899999999996
